feature,importance_mean,importance_std
EGB,3.8551334146301537,0.022979905160628655
EEL,3.7688576801910605,0.03337367830051773
Hydrophobic Energy,0.45581460565031495,0.008338170866209117
ESURF,0.2622651892722502,0.0072288881642352315
Delta_Entropy,0.18096637047107259,0.004739124906569306
VDWAALS,0.11739448806150728,0.004728578958558478
HB Energy,0.08035506519596192,0.00399692875922728
run,0.05230162833467718,0.0016916363792661509
Pi-Pi Energy,0.04654729631481978,0.002395068001914048
