Feature,Importance
Hydrophobic Energy,0.26116559973917053
VDWAALS,0.23565449887488057
ESURF,0.20096122886883674
Delta_Entropy,0.14810709803793734
Pi-Pi Energy,0.05708385078109944
HB Energy,0.045486318319381776
EEL,0.03390431804789747
EGB,0.017637087330796206
