Feature,Mean,Std
EEL,0.019342308250512225,0.006295802694033953
HB Energy,0.03813443219447647,0.021517672553143928
Pi-Pi Energy,0.05258197332950294,0.012847033370196456
Delta_Entropy,0.1295707710478783,0.018015690532379412
ESURF,0.18876784720716805,0.03709770175777317
Hydrophobic Energy,0.28331296921377164,0.032263287164524014
VDWAALS,0.28828969875669036,0.031416077431573416
