feature,mean,scale
VDWAALS,-205.0690846891534,20.00839761434393
EEL,-1897.9226296112583,37.35247029449146
EGB,1849.703561893739,34.75335494450307
ESURF,-31.813890072016463,2.3221699652128756
HB Energy,-7.972858503065161,6.006279365052443
Hydrophobic Energy,-138.27125226429234,12.824618166552192
Pi-Pi Energy,-3.0326885354454816,2.553817575861619
Delta_Entropy,-21.985785149410024,2.039904604313553
