,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
VDWAALS,0.8258141555505593,0.34447611320324945,0.008389989920765813,-0.0006388510597441714,0.43571838973690463,-0.09700991306237167,-0.005915770121411749,0.0019045898410462486
EEL,0.45347876599152137,-0.8789201282696035,0.03488694100049391,0.13998371768752282,0.013334424468083141,-0.0075807455772404,-0.006664103156723351,0.02771040454062538
EGB,-0.47175427308299606,0.8658313949944088,-0.03217195388581988,-0.15090622100960033,-0.045030387045069384,0.03231844346615585,0.01232263121325639,0.02749161055584455
ESURF,0.9403289144635061,0.12132349912662001,-0.04740650019231758,-0.10458501685291054,-0.10725474374203163,0.11116406153893686,0.2530187085795432,-0.0009581082500750631
HB Energy,-0.15551643178298824,-0.3384133387760941,-0.11347377180410603,-0.9189127348078014,0.06250375755318077,0.004992307724381283,-0.009281236804484661,-0.0001750026563238657
Hydrophobic Energy,0.9101415042165727,0.18582746161562075,0.04363235278557148,-0.07337068489393558,-0.07380372500360004,0.30641883115638346,-0.17460567715721884,-0.0007740258558850526
Pi-Pi Energy,-0.023701386721187746,-0.03324395594396962,-0.9901288550569796,0.12759137467894444,0.020818981457188114,0.033215054771543184,-0.012859680354968202,9.079255317285982e-05
Delta_Entropy,0.874216497575339,0.2126795628677736,-0.0848470506359284,-0.12457170786417282,-0.23892502645958186,-0.3237818307898171,-0.07667723188105766,0.00046980755406632844
