PC,explained_variance,explained_variance_ratio,cumulative_variance_ratio
PC1,3.6117417308785758,0.45146605752782465,0.45146605752782465
PC2,1.8509409708638842,0.2313667712417988,0.6828328287696235
PC3,1.0069041521756734,0.12586255656230666,0.8086953853319301
PC4,0.9348881035242353,0.11686058355703093,0.925555968888961
PC5,0.2704319456337145,0.03380386899789006,0.9593598378868511
PC6,0.222725658338525,0.02784060499694785,0.9872004428837989
PC7,0.10086777385821585,0.012608425404852918,0.9998088682886519
PC8,0.0015290593090216823,0.0001911317113481187,1.0
