feature,importance
binding_type,0.5555862209193132
improving,0.3460184191847433
Hydrophobic Energy,0.025296273752886976
HB Energy,0.021248176218564514
VDWAALS,0.011738887831782915
Delta_Entropy,0.010127018476253623
ESURF,0.010007223910259537
Pi-Pi Energy,0.005812583351184804
run,0.005014582447308776
EEL,0.004597329508976781
EGB,0.004553284398725619
