colname,mean,std
Delta_Entropy,-21.722042734834883,0.9428087566753058
EEL,-1898.7514564285711,10.966836348918383
EGB,1850.4433633214285,9.906462525851484
ESURF,-31.454329232142857,1.173317134718138
HB Energy,-7.865231967093973,5.469872265464928
Hydrophobic Energy,-135.45331188854237,8.112937215598016
Pi-Pi Energy,-3.2900496886235024,0.7577007516021841
VDWAALS,-201.02938114285715,10.618732771565698
